date,region,product,units,unit_price,unit_cost,revenue,profit,month
2026-02-25,East,Monitor,2,900.0,700.0,1800.0,400.0,2026-02
2026-02-26,North,Keyboard,5,75.0,40.0,375.0,175.0,2026-02
2026-02-27,East,Mouse,2,25.0,40.0,50.0,-30.0,2026-02
2026-02-28,North,Mouse,5,75.0,12.0,375.0,315.0,2026-02
2026-03-01,North,Laptop,1,900.0,12.0,900.0,888.0,2026-03
2026-03-02,South,Mouse,7,900.0,12.0,6300.0,6216.0,2026-03
2026-03-03,North,Keyboard,1,250.0,12.0,250.0,238.0,2026-03
2026-03-04,West,Laptop,2,25.0,700.0,50.0,-1350.0,2026-03
2026-03-05,South,Keyboard,2,25.0,700.0,50.0,-1350.0,2026-03
2026-03-06,West,Monitor,8,75.0,700.0,600.0,-5000.0,2026-03
2026-03-07,West,Laptop,1,250.0,12.0,250.0,238.0,2026-03
2026-03-08,South,Mouse,4,25.0,12.0,100.0,52.0,2026-03
2026-03-09,West,Monitor,6,250.0,40.0,1500.0,1260.0,2026-03
2026-03-10,East,Mouse,5,250.0,170.0,1250.0,400.0,2026-03
2026-03-11,West,Laptop,7,25.0,40.0,175.0,-105.0,2026-03
2026-03-12,South,Monitor,8,25.0,40.0,200.0,-120.0,2026-03
2026-03-13,East,Monitor,4,75.0,12.0,300.0,252.0,2026-03
2026-03-14,West,Laptop,8,250.0,170.0,2000.0,640.0,2026-03
2026-03-15,East,Mouse,3,900.0,40.0,2700.0,2580.0,2026-03
2026-03-16,North,Laptop,9,75.0,12.0,675.0,567.0,2026-03
2026-03-17,West,Monitor,5,75.0,170.0,375.0,-475.0,2026-03
2026-03-18,West,Monitor,7,900.0,700.0,6300.0,1400.0,2026-03
2026-03-19,East,Monitor,8,75.0,12.0,600.0,504.0,2026-03
2026-03-20,North,Keyboard,8,75.0,40.0,600.0,280.0,2026-03
2026-03-21,North,Keyboard,8,75.0,700.0,600.0,-5000.0,2026-03
2026-03-22,South,Mouse,5,25.0,170.0,125.0,-725.0,2026-03
2026-03-23,West,Laptop,1,75.0,700.0,75.0,-625.0,2026-03
2026-03-24,East,Monitor,5,250.0,40.0,1250.0,1050.0,2026-03
2026-03-25,South,Keyboard,2,900.0,40.0,1800.0,1720.0,2026-03
2026-03-26,North,Keyboard,9,250.0,170.0,2250.0,720.0,2026-03
2026-03-27,North,Laptop,3,900.0,12.0,2700.0,2664.0,2026-03
2026-03-28,East,Laptop,3,250.0,12.0,750.0,714.0,2026-03
2026-03-29,West,Laptop,3,25.0,170.0,75.0,-435.0,2026-03
2026-03-30,South,Laptop,6,75.0,170.0,450.0,-570.0,2026-03
2026-03-31,South,Monitor,6,900.0,12.0,5400.0,5328.0,2026-03
2026-04-01,West,Monitor,9,25.0,170.0,225.0,-1305.0,2026-04
2026-04-02,South,Mouse,4,900.0,40.0,3600.0,3440.0,2026-04
2026-04-03,South,Mouse,3,250.0,170.0,750.0,240.0,2026-04
2026-04-04,West,Keyboard,1,75.0,700.0,75.0,-625.0,2026-04
2026-04-05,South,Mouse,1,900.0,12.0,900.0,888.0,2026-04
2026-04-06,West,Keyboard,4,900.0,700.0,3600.0,800.0,2026-04
2026-04-07,East,Keyboard,9,25.0,40.0,225.0,-135.0,2026-04
2026-04-08,North,Mouse,5,25.0,700.0,125.0,-3375.0,2026-04
2026-04-09,North,Laptop,9,250.0,40.0,2250.0,1890.0,2026-04
2026-04-10,East,Keyboard,1,900.0,40.0,900.0,860.0,2026-04
2026-04-11,South,Monitor,1,25.0,700.0,25.0,-675.0,2026-04
2026-04-12,East,Mouse,8,250.0,170.0,2000.0,640.0,2026-04
2026-04-13,South,Monitor,1,25.0,12.0,25.0,13.0,2026-04
2026-04-14,East,Monitor,1,250.0,170.0,250.0,80.0,2026-04
2026-04-15,South,Keyboard,4,250.0,700.0,1000.0,-1800.0,2026-04
2026-04-16,South,Mouse,9,25.0,40.0,225.0,-135.0,2026-04
2026-04-17,South,Keyboard,7,250.0,700.0,1750.0,-3150.0,2026-04
2026-04-18,North,Keyboard,1,900.0,170.0,900.0,730.0,2026-04
2026-04-19,West,Laptop,8,900.0,40.0,7200.0,6880.0,2026-04
2026-04-20,North,Laptop,8,25.0,12.0,200.0,104.0,2026-04
2026-04-21,West,Monitor,8,25.0,170.0,200.0,-1160.0,2026-04
2026-04-22,South,Laptop,9,25.0,12.0,225.0,117.0,2026-04
2026-04-23,North,Mouse,3,75.0,700.0,225.0,-1875.0,2026-04
2026-04-24,West,Mouse,9,25.0,170.0,225.0,-1305.0,2026-04
2026-04-25,North,Keyboard,3,900.0,40.0,2700.0,2580.0,2026-04
2026-04-26,North,Keyboard,8,900.0,12.0,7200.0,7104.0,2026-04
2026-04-27,East,Laptop,6,900.0,170.0,5400.0,4380.0,2026-04
2026-04-28,East,Keyboard,8,25.0,12.0,200.0,104.0,2026-04
2026-04-29,East,Laptop,6,25.0,40.0,150.0,-90.0,2026-04
2026-04-30,East,Monitor,6,900.0,700.0,5400.0,1200.0,2026-04
2026-05-01,West,Keyboard,6,75.0,700.0,450.0,-3750.0,2026-05
2026-05-02,North,Keyboard,8,250.0,700.0,2000.0,-3600.0,2026-05
2026-05-03,North,Laptop,7,900.0,700.0,6300.0,1400.0,2026-05
2026-05-04,West,Keyboard,2,25.0,170.0,50.0,-290.0,2026-05
2026-05-05,South,Laptop,8,25.0,12.0,200.0,104.0,2026-05
2026-05-06,North,Monitor,5,25.0,700.0,125.0,-3375.0,2026-05
2026-05-07,East,Mouse,3,25.0,700.0,75.0,-2025.0,2026-05
2026-05-08,South,Mouse,5,25.0,700.0,125.0,-3375.0,2026-05
2026-05-09,North,Laptop,9,900.0,170.0,8100.0,6570.0,2026-05
2026-05-10,North,Keyboard,8,250.0,12.0,2000.0,1904.0,2026-05
2026-05-11,North,Mouse,8,900.0,170.0,7200.0,5840.0,2026-05
2026-05-12,North,Monitor,5,900.0,40.0,4500.0,4300.0,2026-05
2026-05-13,East,Mouse,8,900.0,700.0,7200.0,1600.0,2026-05
2026-05-14,North,Mouse,4,25.0,40.0,100.0,-60.0,2026-05
2026-05-15,South,Keyboard,7,75.0,40.0,525.0,245.0,2026-05
2026-05-16,West,Laptop,6,900.0,12.0,5400.0,5328.0,2026-05
2026-05-17,North,Monitor,3,25.0,700.0,75.0,-2025.0,2026-05
2026-05-18,East,Monitor,3,25.0,700.0,75.0,-2025.0,2026-05
2026-05-19,West,Mouse,1,250.0,12.0,250.0,238.0,2026-05
2026-05-20,West,Mouse,2,900.0,40.0,1800.0,1720.0,2026-05
2026-05-21,South,Laptop,4,900.0,40.0,3600.0,3440.0,2026-05
2026-05-22,East,Keyboard,5,900.0,40.0,4500.0,4300.0,2026-05
2026-05-23,West,Keyboard,2,25.0,700.0,50.0,-1350.0,2026-05
2026-05-24,West,Laptop,4,900.0,12.0,3600.0,3552.0,2026-05
2026-05-25,South,Laptop,6,900.0,40.0,5400.0,5160.0,2026-05
2026-05-26,South,Laptop,3,250.0,12.0,750.0,714.0,2026-05
2026-05-27,East,Laptop,4,900.0,12.0,3600.0,3552.0,2026-05
2026-05-28,East,Keyboard,4,900.0,700.0,3600.0,800.0,2026-05
2026-05-29,South,Keyboard,5,75.0,700.0,375.0,-3125.0,2026-05
2026-05-30,East,Laptop,4,25.0,12.0,100.0,52.0,2026-05
2026-05-31,South,Monitor,7,75.0,170.0,525.0,-665.0,2026-05
2026-06-01,West,Laptop,3,25.0,12.0,75.0,39.0,2026-06
2026-06-02,South,Mouse,4,25.0,12.0,100.0,52.0,2026-06
2026-06-03,West,Monitor,4,25.0,40.0,100.0,-60.0,2026-06
2026-06-04,West,Monitor,2,250.0,12.0,500.0,476.0,2026-06
2026-06-05,North,Keyboard,7,250.0,40.0,1750.0,1470.0,2026-06
2026-06-06,East,Laptop,3,250.0,700.0,750.0,-1350.0,2026-06
2026-06-07,North,Laptop,3,250.0,170.0,750.0,240.0,2026-06
2026-06-08,North,Mouse,8,250.0,170.0,2000.0,640.0,2026-06
2026-06-09,South,Mouse,9,250.0,40.0,2250.0,1890.0,2026-06
2026-06-10,South,Keyboard,7,25.0,12.0,175.0,91.0,2026-06
2026-06-11,North,Keyboard,9,900.0,12.0,8100.0,7992.0,2026-06
2026-06-12,West,Mouse,8,75.0,40.0,600.0,280.0,2026-06
2026-06-13,West,Keyboard,5,25.0,12.0,125.0,65.0,2026-06
2026-06-14,West,Mouse,7,900.0,700.0,6300.0,1400.0,2026-06
2026-06-15,South,Monitor,3,250.0,700.0,750.0,-1350.0,2026-06
2026-06-16,West,Mouse,5,25.0,700.0,125.0,-3375.0,2026-06
2026-06-17,East,Laptop,5,25.0,170.0,125.0,-725.0,2026-06
2026-06-18,West,Keyboard,9,25.0,170.0,225.0,-1305.0,2026-06
2026-06-19,East,Laptop,8,75.0,170.0,600.0,-760.0,2026-06
2026-06-20,East,Laptop,5,25.0,40.0,125.0,-75.0,2026-06
2026-06-21,East,Laptop,6,250.0,170.0,1500.0,480.0,2026-06
2026-06-22,South,Mouse,2,250.0,700.0,500.0,-900.0,2026-06
2026-06-23,North,Laptop,8,900.0,700.0,7200.0,1600.0,2026-06
2026-06-24,North,Laptop,5,250.0,170.0,1250.0,400.0,2026-06
2026-06-25,West,Monitor,5,250.0,12.0,1250.0,1190.0,2026-06
2026-06-26,North,Keyboard,7,250.0,170.0,1750.0,560.0,2026-06
2026-06-27,East,Laptop,6,25.0,40.0,150.0,-90.0,2026-06
2026-06-28,South,Mouse,1,25.0,170.0,25.0,-145.0,2026-06
2026-06-29,North,Monitor,3,250.0,170.0,750.0,240.0,2026-06
2026-06-30,South,Keyboard,2,25.0,700.0,50.0,-1350.0,2026-06
2026-07-01,East,Monitor,7,25.0,40.0,175.0,-105.0,2026-07
2026-07-02,West,Keyboard,1,25.0,700.0,25.0,-675.0,2026-07
2026-07-03,North,Monitor,2,900.0,700.0,1800.0,400.0,2026-07
2026-07-04,West,Mouse,6,75.0,40.0,450.0,210.0,2026-07
2026-07-05,West,Laptop,7,250.0,40.0,1750.0,1470.0,2026-07
2026-07-06,East,Keyboard,5,75.0,170.0,375.0,-475.0,2026-07
2026-07-07,West,Keyboard,8,25.0,700.0,200.0,-5400.0,2026-07
2026-07-08,East,Laptop,9,75.0,170.0,675.0,-855.0,2026-07
2026-07-09,West,Monitor,2,25.0,700.0,50.0,-1350.0,2026-07
2026-07-10,North,Laptop,9,900.0,40.0,8100.0,7740.0,2026-07
2026-07-11,North,Monitor,6,25.0,170.0,150.0,-870.0,2026-07
2026-07-12,North,Keyboard,6,75.0,40.0,450.0,210.0,2026-07
2026-07-13,West,Laptop,1,900.0,700.0,900.0,200.0,2026-07
2026-07-14,South,Mouse,6,250.0,40.0,1500.0,1260.0,2026-07
2026-07-15,East,Laptop,7,75.0,170.0,525.0,-665.0,2026-07
2026-07-16,West,Monitor,6,250.0,12.0,1500.0,1428.0,2026-07
2026-07-17,East,Keyboard,1,900.0,700.0,900.0,200.0,2026-07
2026-07-18,West,Laptop,5,75.0,40.0,375.0,175.0,2026-07
2026-07-19,South,Mouse,9,250.0,40.0,2250.0,1890.0,2026-07
2026-07-20,West,Keyboard,7,900.0,170.0,6300.0,5110.0,2026-07
2026-07-21,South,Mouse,2,250.0,40.0,500.0,420.0,2026-07
2026-07-22,West,Laptop,9,75.0,700.0,675.0,-5625.0,2026-07
2026-07-23,North,Mouse,9,25.0,170.0,225.0,-1305.0,2026-07
2026-07-24,West,Monitor,2,25.0,170.0,50.0,-290.0,2026-07
2026-07-25,West,Monitor,8,900.0,12.0,7200.0,7104.0,2026-07
2026-07-26,South,Mouse,4,250.0,12.0,1000.0,952.0,2026-07
2026-07-27,South,Keyboard,6,75.0,40.0,450.0,210.0,2026-07
2026-07-28,West,Monitor,5,75.0,700.0,375.0,-3125.0,2026-07
2026-07-29,South,Mouse,8,250.0,700.0,2000.0,-3600.0,2026-07
2026-07-30,West,Keyboard,9,250.0,170.0,2250.0,720.0,2026-07
2026-07-31,North,Keyboard,8,250.0,170.0,2000.0,640.0,2026-07
2026-08-01,South,Mouse,9,75.0,40.0,675.0,315.0,2026-08
2026-08-02,West,Laptop,9,250.0,12.0,2250.0,2142.0,2026-08
2026-08-03,North,Monitor,1,75.0,12.0,75.0,63.0,2026-08
2026-08-04,West,Monitor,3,900.0,40.0,2700.0,2580.0,2026-08
2026-08-05,East,Laptop,7,25.0,40.0,175.0,-105.0,2026-08
2026-08-06,East,Monitor,6,25.0,12.0,150.0,78.0,2026-08
2026-08-07,West,Keyboard,1,75.0,40.0,75.0,35.0,2026-08
2026-08-08,South,Laptop,1,250.0,12.0,250.0,238.0,2026-08
2026-08-09,East,Monitor,5,250.0,170.0,1250.0,400.0,2026-08
2026-08-10,West,Laptop,6,75.0,700.0,450.0,-3750.0,2026-08
2026-08-11,North,Monitor,2,900.0,170.0,1800.0,1460.0,2026-08
2026-08-12,East,Mouse,2,75.0,40.0,150.0,70.0,2026-08
2026-08-13,North,Laptop,2,25.0,40.0,50.0,-30.0,2026-08
2026-08-14,West,Keyboard,6,25.0,40.0,150.0,-90.0,2026-08
2026-08-15,South,Laptop,1,900.0,12.0,900.0,888.0,2026-08
2026-08-16,North,Monitor,6,25.0,170.0,150.0,-870.0,2026-08
2026-08-17,North,Laptop,5,900.0,170.0,4500.0,3650.0,2026-08
2026-08-18,East,Keyboard,5,75.0,12.0,375.0,315.0,2026-08
2026-08-19,West,Monitor,7,25.0,40.0,175.0,-105.0,2026-08
2026-08-20,South,Keyboard,5,75.0,40.0,375.0,175.0,2026-08
2026-08-21,East,Mouse,7,250.0,12.0,1750.0,1666.0,2026-08
2026-08-22,South,Mouse,7,75.0,170.0,525.0,-665.0,2026-08
2026-08-23,West,Monitor,9,900.0,170.0,8100.0,6570.0,2026-08
2026-08-24,North,Keyboard,8,250.0,170.0,2000.0,640.0,2026-08
2026-08-25,North,Keyboard,5,75.0,170.0,375.0,-475.0,2026-08
2026-08-26,West,Laptop,5,250.0,700.0,1250.0,-2250.0,2026-08
2026-08-27,West,Monitor,3,900.0,700.0,2700.0,600.0,2026-08
2026-08-28,North,Laptop,6,75.0,170.0,450.0,-570.0,2026-08
